id;celular;telefone;email;instagram
1;out-of-the-box Buckinghamshire;capacitor PCI;Elsio11@bol.com.br;2023-01-25
2;parsing;Pequeno;Lorenzo64@gmail.com;2023-01-25
3;Prático;Money expedite;MariaAlice_Batista92@live.com;2023-01-26
4;rosa implement focus;Sapatos;Ricardo_Batista40@bol.com.br;2023-01-26
5;engineer violeta;à Fresco system-worthy;Lorraine15@hotmail.com;2023-01-26
6;extend calculate;Travessa Investor bandwidth;Carlos38@bol.com.br;2023-01-26
7;mobile;value-added Quality-focused laranja;Valentina.Saraiva@gmail.com;2023-01-25
8;synthesize;Jóias firewall;Rafael_Batista@yahoo.com;2023-01-26
9;Hryvnia multi-byte online;AI Executive;MariaEduarda32@gmail.com;2023-01-26
10;Faso Rústico drive;Gostoso;Leonardo.Moraes@bol.com.br;2023-01-26
