id;ativo;atual;bairro;cep;complemento;data_exclusao;usuario_exclusao_id
1;82195;false;Pequeno methodologies Sabonete;Alameda Travessa solution;e-markets Buckinghamshire superstructure;2023-01-26;17119
2;1465;false;withdrawal;Integration Avenida SQL;dot-com quantify;2023-01-25;61473
3;8467;false;quantifying Response;Benin;B2C repurpose circuit;2023-01-25;16905
4;81652;false;calculate;Refinado Inteligente;laranja;2023-01-26;75498
5;8572;false;wireless petróleo Rio;amarelo;motivating Vatu copy;2023-01-25;62568
6;37384;false;Lindo copying Mesa;Centralized Gostoso;invoice Agent;2023-01-25;46642
7;86622;false;marrom Technician logistical;Loan;Saúde Croácia Front-line;2023-01-26;12331
8;47841;false;Director Salada;connecting Architect synthesize;Crianças;2023-01-26;52500
9;54310;true;Madeira;Secured Avon cinza;de;2023-01-26;32467
10;65907;false;program;Configurable Fresco;Technician scale bypassing;2023-01-26;17165
